Company Name,Rating,Job Title,Location
Puls Technologies GmbH,3.8,Working Student Data Analyst (f/m/x),Berlin
adjoe GmbH,3.4,Business Intelligence Analyst (f/m/d),Hamburg
New Work Personaldienstleistungs GmbH,4.1,Financial Data Analyst (m/w/d),Kaiserslautern
Mazars GmbH & Co. KG,3.5,Data Scientist / Data Analyst (all genders),Berlin
matchING Engineering GmbH,3.9,Digital Service Data Analyst (m/w/d),Schwalbach am Taunus
Snipes SE,4.3,Junior Data Analyst (m/w/d),Köln
Wego Systembaustoffe GmbH,4.0,"Data Architect / Data Analyst/ Data Engineer (m/w/d) - Big Data, Power BI",Germany
Goldman Sachs,3.0,"Controllers, Statistical Reporting Analyst/Associate - Frankfurt",Frankfurt am Main
Saras Analytics,3.7,Senior Data Analyst,Bavaria
Creakom Dialog GmbH,3.9,Data Analyst / Business Analyst (f/m),Germany
JobRad GmbH,3.6,Atlassian Administrator:in (m/w/d),Freiburg im Breisgau
Fresenius Kabi Deutschland GmbH,3.5,Business Process Analyst – Source-to-Pay (m/f/d),Bad Homburg v. d. Höhe
Spread Group,3.9,Web Analyst (f/m/d),Leipzig
ViA-Online GmbH,3.2,Data Analyst (m/w/d),Krefeld
ProSiebenSat.1 Careers,4.0,Data Analyst Marketing (m/w/d),Munich
KI group GmbH,2.7,Senior Data Analyst - PowerBI (m/f/d),Home office
SENEC GmbH,4.6,Data Analyst (m/w/x) Battery System,Köln
DOWERK Fach- und Führungskräfte,3.5,Data Analyst / Controller (m/w/d),Nordhorn
ista Express Service GmbH,1.0,Werkstudent BI / Data Engineering - 100%Office/C1 German (w/m/d),Rastede
SIXT Germany,4.1,Senior Data Engineer (m/f/d),Munich
segmenta communications GmbH,5.0,Data Analyst (m/w/d),Hamburg
Red Bull,3.7,Supply Chain Network Design Analyst in Salzburg,Germany
CLOUDETEER GmbH,4.3,Cloud Data Engineer (m/w/d),Home office
Allgeier IT GmbH,4.2,Data Analyst (m/w/d) - Hamburg,Hamburg
Shiftmove,4.0,Senior Data Analyst (f/m/x),Berlin
Convolut,5.0,Junior Business & Data Analyst (all genders),Munich
EGYM GmbH,2.6,(Senior) Business Intelligence Analyst - Product (m/f/d),Munich
Team Gesundheit,4.4,DATA ANALYST (M/W/D),Essen
Alvarez and Marsal,3.7,Analyst / Associate (m/f/d) – Valuation Services,Home office
Delivery Hero,3.4,"Senior Data Analyst - Q-Commerce, Store Operations Science",Berlin
amaris,4.2,Business Analyst,Berlin
Billie,3.6,Data Scientist (w/m/d),Berlin
STEINBEIS SCHOOL OF INTERNATIONAL BUSINESS AND ENTREPRENEURSHIP (SIBE) GmbH,3.7,"Job-integrated Master: Junior Marketing Data Analyst (m/f/d), Zeiss",Oberkochen
EWR AG,4.0,Data Analyst & Change Agent (m/w/d),Worms
Mister Spex SE,3.8,Junior Business Analyst (m/w/d),Berlin
BuildingMinds,3.0,Senior Data Consultant/Analyst (m/f/d),Berlin
Winterhalter Gruppe,4.6,(Junior) Data Analyst/Visualizer (w/m/d),Meckenbeuren
acb GmbH,4.0,Data Analyst Accounting (m/w/d),Wiesbaden
ALDI SÜD,3.4,Data and Reporting Analyst - Test Management (m/w/d),Mülheim an der Ruhr
CrazyLabs,2.4,Game Data Analyst,Berlin
Verti Versicherung AG,3.9,Customer Data Analyst (m/w/d) CRM,Teltow
BMZ Holding GmbH,1.0,Master Data Analyst (m/w/d),Karlstein a. Main
KiK Textilien und Non-Food GmbH,4.3,Data Analyst (m/w/d) Bereich E-Commerce,Bönen
b.telligent,4.0,Data Analyst* Power BI,Germany
ALDI SÜD,4.0,(Senior) Data Analyst Reporting (m/f/x),Mülheim an der Ruhr
Oyster Bay Systems,3.5,Data Analyst & Systems Administrator,Germany
Siemens Energy,4.3,Financial Data Analyst / Project Controller (f/m/d),Erlangen
gastromatic - vertical cloud solution GmbH,3.5,Junior Finance Data Analyst (w/m/d),Darmstadt
Aesculap AG,4.3,Data Analyst (w/m/d),Tuttlingen
RWE Supply & Trading,5.0,Supplier and Service Delivery Analyst - Cloud & Data Centre,Essen
Cedio GmbH,5.0,Senior Data Analyst(m/w/d),Veitshöchheim
Thermondo GmbH,4.5,Senior Data Analyst (m/f/d),Germany
Supper & Supper GmbH,4.1,Data Analyst (m/w/d),Berlin
Dialoghafen GmbH,4.3,Controller / Finanzcontroller (m/w/d),Rostock
SCHIESSER,3.7,Data Analyst,Radolfzell am Bodensee
Loh Services,5.0,IT Data Analyst Planning (m/w/d),Haiger
FIEGE Logistik Stiftung & Co. KG,3.8,Data Analyst (w/m/d) Data & Analytics,Mönchengladbach
Lidl,3.2,Data Analyst Immobilien International (m/w/d),Neckarsulm
SENNEBOGEN Maschinenfabrik GmbH,4.2,Data-Analyst im Bereich Service (m/w/d),Steinach
Tesla,3.8,Process Data Analyst R&D (m/w/d),Prüm
DEVnet Holding,3.9,Senior Data Analyst (BI & Data Science),Grünwald
Deutsche Bank,4.1,Analytics Senior Analyst (f/m/x) AFC Screening Model Data & Model Engineer,Berlin
Deutsche Post & DHL,2.6,Business Data Analyst (w/m/d),Bonn
Weissenhäuser Strand GmbH & Co. KG,3.6,Junior Data Analyst (m/w/d),Germany
Audia Akustik GmbH,4.7,Data Analyst für Logistikprozesse (m/w/d),Erfurt
M2 Data GmbH,4.1,Senior Data Analyst - Tableau (m/w/d),Stuttgart
accantec group,3.3,Senior Data Analyst (m/w/d),Home office
Jochen Schweizer mydays Group,4.4,(Junior) Data Analyst,Munich
Senec GmbH,3.5,Data Analyst (m/w/x) Battery System,Leipzig
MEGA Das Fach-Zentrum für die Metzgerei und Gastronomie eG,4.6,ERP-MITARBEITER/DATA-ANALYST (m/w/d),Stuttgart
workidentity GmbH,3.4,Data Analyst/ETL-Entwickler (gn)/ Vollzeit & unbefristet in HH,Hamburg
Fritz Berger GmbH,4.2,Data Analyst*in Supply Chain Management (m/w/d),Neumarkt i. d. OPf.
UCB,3.9,Graduate Business Analyst Germany (m/f/d),Monheim am Rhein
Media-Saturn Deutschland GmbH,4.8,Business Analyst E-Commerce (m/w/d),Ingolstadt
C&S Career and Success Personal Service GmbH,3.4,Associate Data Analyst (m/w/d),Düsseldorf
stafftastic GmbH,3.6,Senior Data-Analyst / Data-Scientist (m/f/d),Fulda
advanced engineering GmbH,4.1,Data Engineer - Datenanalyse & Digitalisierung (m/w/d),Munich
